Company Name,Year_t,from_label,to_label
A M N S Gandhidham Ltd.,2018,Acct_Distress,Acct_Distress
A M N S Ports Hazira Ltd.,2018,Healthy,Healthy
A M N S Ports Hazira Ltd.,2019,Healthy,Healthy
A M N S Ports Hazira Ltd.,2020,Healthy,Healthy
A M N S Ports Hazira Ltd.,2021,Healthy,Healthy
A M N S Ports Hazira Ltd.,2022,Healthy,Healthy
A M N S Ports India Ltd.,2018,Healthy,Healthy
A M N S Ports India Ltd.,2019,Healthy,Healthy
A M N S Ports India Ltd.,2020,Healthy,Healthy
A M N S Ports India Ltd.,2021,Healthy,Healthy
A M N S Ports India Ltd.,2022,Healthy,Acct_Distress
A M N S Ports Paradip Ltd.,2018,Healthy,Healthy
A M N S Ports Paradip Ltd.,2019,Healthy,Healthy
A M N S Ports Paradip Ltd.,2020,Healthy,Healthy
A M N S Ports Paradip Ltd.,2021,Healthy,Healthy
A M N S Power Hazira Ltd.,2018,Healthy,Healthy
A M N S Power Hazira Ltd.,2019,Healthy,Healthy
A M N S Power Hazira Ltd.,2020,Healthy,Healthy
A M N S Power Hazira Ltd.,2021,Healthy,Healthy
A M N S Power Hazira Ltd.,2022,Healthy,Healthy
A M P L Resources Pvt. Ltd.,2018,Healthy,Healthy
A M P L Resources Pvt. Ltd.,2019,Healthy,Healthy
A M P L Resources Pvt. Ltd.,2020,Healthy,Healthy
A M P L Resources Pvt. Ltd.,2021,Healthy,Healthy
A M P L Resources Pvt. Ltd.,2022,Healthy,Healthy
A M R India Ltd.,2020,Healthy,Healthy
A M R India Ltd.,2021,Healthy,Healthy
A M R India Ltd.,2022,Healthy,Healthy
A M R Power Pvt. Ltd.,2018,Healthy,Healthy
A M R Power Pvt. Ltd.,2019,Healthy,Healthy
A M R Power Pvt. Ltd.,2020,Healthy,Healthy
A M R Power Pvt. Ltd.,2021,Healthy,Healthy
A M R Power Pvt. Ltd.,2022,Healthy,Healthy
A M S Comtel Business Process Mgmt. Services Pvt. Ltd.,2019,Healthy,Healthy
A M Textiles & Knitwears Ltd.,2020,Cash_Distress,Healthy
A M Textiles & Knitwears Ltd.,2021,Healthy,Cash_Distress
